"ï»¿""Observation station""",Year,Month,Day,Snow depth [cm],Date,Average temperature [Â°C],cloud_code,Global radiation mean [W/m2]
Pelkosenniemi parish,2014,2,9,53,2014-02-09,-3.0,8.0,6
Pelkosenniemi parish,2014,2,10,51,2014-02-10,-1.8,8.0,"4,7"
Pelkosenniemi parish,2014,2,11,49,2014-02-11,-2.1,8.0,"7,1"
Pelkosenniemi parish,2014,2,12,55,2014-02-12,-2.8,9.0,"6,3"
Pelkosenniemi parish,2014,2,13,55,2014-02-13,-3.5,8.0,"10,9"
Pelkosenniemi parish,2014,2,14,57,2014-02-14,-3.7,8.0,"10,1"
Pelkosenniemi parish,2014,2,15,57,2014-02-15,-3.1,8.0,"6,8"
Pelkosenniemi parish,2014,2,16,56,2014-02-16,-4.7,8.0,"10,3"
Pelkosenniemi parish,2014,2,17,55,2014-02-17,-3.9,8.0,"11,1"
Pelkosenniemi parish,2014,2,18,56,2014-02-18,-5.9,8.0,"15,8"
Pelkosenniemi parish,2014,2,19,56,2014-02-19,-8.1,7.0,"16,7"
Pelkosenniemi parish,2014,2,20,56,2014-02-20,-10.3,8.0,"35,8"
Pelkosenniemi parish,2014,2,21,57,2014-02-21,-14.4,8.0,"21,5"
Pelkosenniemi parish,2014,2,22,58,2014-02-22,-9.7,8.0,"13,1"
Pelkosenniemi parish,2014,2,23,59,2014-02-23,-2.3,8.0,"15,9"
Pelkosenniemi parish,2014,2,24,55,2014-02-24,-0.4,8.0,"27,7"
Pelkosenniemi parish,2014,2,25,50,2014-02-25,0.0,8.0,"25,4"
Pelkosenniemi parish,2014,2,26,54,2014-02-26,-2.3,0.0,"8,5"
Pelkosenniemi parish,2014,2,27,45,2014-02-27,-4.7,8.0,"11,3"
Pelkosenniemi parish,2014,2,28,45,2014-02-28,-3.4,8.0,"11,9"
Pelkosenniemi parish,2014,3,1,45,2014-03-01,-2.6,8.0,"10,7"
Pelkosenniemi parish,2014,3,2,46,2014-03-02,-4.2,7.0,"26,1"
Pelkosenniemi parish,2014,3,3,46,2014-03-03,-4.7,7.0,"25,7"
Pelkosenniemi parish,2014,3,4,50,2014-03-04,-3.4,8.0,"14,3"
Pelkosenniemi parish,2014,3,5,50,2014-03-05,-2.7,8.0,"11,6"
Pelkosenniemi parish,2014,3,6,49,2014-03-06,-2.4,8.0,"7,8"
Pelkosenniemi parish,2014,3,7,48,2014-03-07,-0.9,8.0,"39,9"
Pelkosenniemi parish,2014,3,8,49,2014-03-08,-1.1,8.0,"52,3"
Pelkosenniemi parish,2014,3,9,47,2014-03-09,-1.5,0.0,"26,5"
Pelkosenniemi parish,2014,3,10,45,2014-03-10,0.6,0.0,"54,6"
Pelkosenniemi parish,2014,3,11,43,2014-03-11,-1.2,7.0,"78,6"
Pelkosenniemi parish,2014,3,12,42,2014-03-12,0.7,8.0,"88,5"
Pelkosenniemi parish,2014,3,13,42,2014-03-13,-2.4,7.0,"49,2"
Pelkosenniemi parish,2014,3,14,49,2014-03-14,-2.2,0.0,50
Pelkosenniemi parish,2014,3,15,49,2014-03-15,-7.3,8.0,"50,9"
Pelkosenniemi parish,2014,3,16,51,2014-03-16,-10.2,0.0,75
Pelkosenniemi parish,2014,3,17,50,2014-03-17,-11.0,0.0,"111,2"
Pelkosenniemi parish,2014,3,18,50,2014-03-18,-11.0,0.0,"113,7"
Pelkosenniemi parish,2014,3,19,50,2014-03-19,-9.8,0.0,"116,8"
Pelkosenniemi parish,2014,3,20,50,2014-03-20,-9.6,7.0,"115,7"
Pelkosenniemi parish,2014,3,21,50,2014-03-21,-9.7,7.0,"54,4"
Pelkosenniemi parish,2014,3,22,55,2014-03-22,-7.7,0.0,"56,3"
Pelkosenniemi parish,2014,3,23,56,2014-03-23,-2.7,0.0,"50,3"
Pelkosenniemi parish,2014,3,24,58,2014-03-24,-3.2,9.0,"66,8"
Pelkosenniemi parish,2014,3,25,55,2014-03-25,-4.0,0.0,"102,9"
Pelkosenniemi parish,2014,3,26,55,2014-03-26,-2.9,3.0,"129,3"
Pelkosenniemi parish,2014,3,27,54,2014-03-27,-0.7,8.0,"84,4"
Pelkosenniemi parish,2014,3,28,52,2014-03-28,-1.2,8.0,"67,1"
Pelkosenniemi parish,2014,3,29,51,2014-03-29,-1.6,0.0,"91,2"
Pelkosenniemi parish,2014,3,30,51,2014-03-30,-6.9,3.0,"131,8"
Pelkosenniemi parish,2014,3,31,50,2014-03-31,-7.1,0.0,"109,8"
Pelkosenniemi parish,2014,4,1,50,2014-04-01,-6.0,1.0,"140,8"
Pelkosenniemi parish,2014,4,2,50,2014-04-02,-3.9,7.0,"134,3"
Pelkosenniemi parish,2014,4,3,50,2014-04-03,-6.3,7.0,162
Pelkosenniemi parish,2014,4,4,50,2014-04-04,-6.4,0.0,"158,9"
Pelkosenniemi parish,2014,4,5,49,2014-04-05,-3.1,8.0,"101,9"
Pelkosenniemi parish,2014,4,6,49,2014-04-06,-5.5,1.0,"182,2"
Pelkosenniemi parish,2014,4,7,49,2014-04-07,-6.0,0.0,149
Pelkosenniemi parish,2014,4,8,49,2014-04-08,-7.2,0.0,"190,6"
Pelkosenniemi parish,2014,4,9,48,2014-04-09,-6.8,0.0,194
Pelkosenniemi parish,2014,4,10,48,2014-04-10,-4.2,0.0,"153,3"
Pelkosenniemi parish,2014,4,11,48,2014-04-11,-2.1,8.0,"54,2"
Pelkosenniemi parish,2014,4,12,47,2014-04-12,-0.6,0.0,"168,1"
Pelkosenniemi parish,2014,4,13,45,2014-04-13,-0.4,8.0,"85,7"
Pelkosenniemi parish,2014,4,14,43,2014-04-14,0.3,8.0,"93,1"
Pelkosenniemi parish,2014,4,15,40,2014-04-15,-1.2,,"194,2"
Pelkosenniemi parish,2014,4,16,38,2014-04-16,-2.1,,"191,4"
Pelkosenniemi parish,2014,4,17,34,2014-04-17,0.3,,"143,7"
Pelkosenniemi parish,2014,4,18,27,2014-04-18,0.3,,"146,4"
Pelkosenniemi parish,2014,4,19,25,2014-04-19,2.0,,"170,5"
Pelkosenniemi parish,2014,4,20,20,2014-04-20,1.5,,"209,8"
Pelkosenniemi parish,2014,4,21,15,2014-04-21,1.5,,"92,1"
Pelkosenniemi parish,2014,4,22,12,2014-04-22,-0.2,,"232,4"
Pelkosenniemi parish,2014,4,23,10,2014-04-23,-2.7,,"211,9"
Pelkosenniemi parish,2014,4,24,9,2014-04-24,0.9,,107
Pelkosenniemi parish,2014,4,25,8,2014-04-25,1.3,0.0,"155,4"
Pelkosenniemi parish,2014,4,26,7,2014-04-26,1.9,5.0,"146,7"
Pelkosenniemi parish,2014,4,27,5,2014-04-27,0.7,,"101,2"
Pelkosenniemi parish,2014,4,28,4,2014-04-28,1.3,,"195,7"
Pelkosenniemi parish,2014,4,29,4,2014-04-29,-2.7,,"69,5"
Pelkosenniemi parish,2014,4,30,14,2014-04-30,-4.9,7.0,"191,3"
Pelkosenniemi parish,2014,5,1,10,2014-05-01,-3.7,7.0,"228,7"
Pelkosenniemi parish,2014,5,2,10,2014-05-02,-2.4,5.0,"200,7"
Pelkosenniemi parish,2014,5,3,9,2014-05-03,-2.2,1.0,"151,5"
Pelkosenniemi parish,2014,5,4,8,2014-05-04,-1.9,7.0,"270,2"
Pelkosenniemi parish,2014,5,5,7,2014-05-05,-2.1,0.0,"243,8"
Pelkosenniemi parish,2014,5,6,6,2014-05-06,-3.4,0.0,"234,2"
Pelkosenniemi parish,2014,5,7,5,2014-05-07,-3.2,5.0,"181,3"
Pelkosenniemi parish,2014,5,8,4,2014-05-08,-2.0,7.0,"209,3"
Pelkosenniemi parish,2014,5,9,3,2014-05-09,0.2,0.0,"286,1"
Pelkosenniemi parish,2014,5,10,2,2014-05-10,-0.9,,"61,2"
Pelkosenniemi parish,2014,5,11,2,2014-05-11,0.8,8.0,"151,3"
Pelkosenniemi parish,2014,5,12,2,2014-05-12,2.8,0.0,"254,7"
Pelkosenniemi parish,2014,5,13,1,2014-05-13,0.7,7.0,"104,9"
Pelkosenniemi parish,2014,5,14,1,2014-05-14,-1.7,8.0,"237,2"
Pelkosenniemi parish,2014,5,15,1,2014-05-15,0.8,0.0,"228,8"
Pelkosenniemi parish,2014,5,16,-1,2014-05-16,2.2,8.0,"110,2"
Pelkosenniemi parish,2014,5,17,-1,2014-05-17,6.9,0.0,"195,2"
Pelkosenniemi parish,2014,5,18,-1,2014-05-18,8.7,0.0,"285,8"
Pelkosenniemi parish,2014,5,19,-1,2014-05-19,15.7,3.0,"227,2"
Pelkosenniemi parish,2014,5,20,-1,2014-05-20,11.1,7.0,52
Pelkosenniemi parish,2014,5,21,-1,2014-05-21,11.7,8.0,"257,3"
Pelkosenniemi parish,2014,5,22,-1,2014-05-22,14.5,0.0,"234,3"
Pelkosenniemi parish,2014,5,23,-1,2014-05-23,10.9,7.0,"79,6"
Pelkosenniemi parish,2014,5,24,-1,2014-05-24,11.6,7.0,"205,1"
Pelkosenniemi parish,2014,5,25,-1,2014-05-25,6.0,7.0,220
Pelkosenniemi parish,2014,5,26,-1,2014-05-26,1.8,8.0,"245,4"
Pelkosenniemi parish,2014,5,27,-1,2014-05-27,1.9,7.0,"124,6"
Pelkosenniemi parish,2014,5,28,-1,2014-05-28,5.0,7.0,"273,5"
Pelkosenniemi parish,2014,5,29,-1,2014-05-29,11.0,0.0,"338,5"
Pelkosenniemi parish,2014,5,30,-1,2014-05-30,10.3,0.0,185
Pelkosenniemi parish,2014,5,31,-1,2014-05-31,8.9,8.0,"52,2"
Pelkosenniemi parish,2014,6,1,-1,2014-06-01,4.9,7.0,"101,6"
Pelkosenniemi parish,2014,6,2,-1,2014-06-02,8.9,1.0,"244,4"
Pelkosenniemi parish,2014,6,3,-1,2014-06-03,14.1,0.0,"333,2"
Pelkosenniemi parish,2014,6,4,-1,2014-06-04,17.7,0.0,"334,7"
Pelkosenniemi parish,2014,6,5,-1,2014-06-05,16.4,1.0,"220,2"
Pelkosenniemi parish,2014,6,6,-1,2014-06-06,18.5,0.0,"234,2"
Pelkosenniemi parish,2014,6,7,-1,2014-06-07,18.7,8.0,"246,5"
Pelkosenniemi parish,2014,6,8,-1,2014-06-08,11.2,7.0,"45,7"
Pelkosenniemi parish,2014,6,9,-1,2014-06-09,11.1,8.0,"272,2"
Pelkosenniemi parish,2014,6,10,-1,2014-06-10,7.9,7.0,"203,4"
Pelkosenniemi parish,2014,6,11,-1,2014-06-11,12.0,8.0,"143,3"
Pelkosenniemi parish,2014,6,12,-1,2014-06-12,11.6,7.0,"85,9"
Pelkosenniemi parish,2014,6,13,-1,2014-06-13,4.6,7.0,"108,7"
Pelkosenniemi parish,2014,6,14,-1,2014-06-14,6.2,3.0,"271,7"
Pelkosenniemi parish,2014,6,15,-1,2014-06-15,7.5,7.0,232
Pelkosenniemi parish,2014,6,16,-1,2014-06-16,2.6,5.0,"197,6"
Pelkosenniemi parish,2014,6,17,-1,2014-06-17,3.7,7.0,"345,5"
Pelkosenniemi parish,2014,6,18,-1,2014-06-18,5.7,7.0,"175,1"
Pelkosenniemi parish,2014,6,19,-1,2014-06-19,4.4,8.0,"183,9"
Pelkosenniemi parish,2014,6,20,-1,2014-06-20,1.2,0.0,104
Pelkosenniemi parish,2014,6,21,-1,2014-06-21,4.0,7.0,"204,5"
Pelkosenniemi parish,2014,6,22,-1,2014-06-22,6.9,0.0,"223,7"
Pelkosenniemi parish,2014,6,23,-1,2014-06-23,8.9,7.0,"259,7"
Pelkosenniemi parish,2014,6,24,-1,2014-06-24,4.8,1.0,"248,1"
Pelkosenniemi parish,2014,6,25,-1,2014-06-25,3.5,5.0,"229,1"
Pelkosenniemi parish,2014,6,26,-1,2014-06-26,3.5,8.0,"165,5"
Pelkosenniemi parish,2014,6,27,-1,2014-06-27,5.0,8.0,"183,3"
Pelkosenniemi parish,2014,6,28,-1,2014-06-28,7.6,7.0,"276,4"
Pelkosenniemi parish,2014,6,29,-1,2014-06-29,11.4,5.0,"225,5"
Pelkosenniemi parish,2014,6,30,-1,2014-06-30,13.8,3.0,"236,2"
Pelkosenniemi parish,2014,7,1,-1,2014-07-01,15.7,5.0,230
Pelkosenniemi parish,2014,7,2,-1,2014-07-02,12.4,0.0,"168,1"
Pelkosenniemi parish,2014,7,3,-1,2014-07-03,8.3,8.0,50
Pelkosenniemi parish,2014,7,4,-1,2014-07-04,10.5,8.0,"130,7"
Pelkosenniemi parish,2014,7,5,-1,2014-07-05,12.4,8.0,"179,3"
Pelkosenniemi parish,2014,7,6,-1,2014-07-06,16.8,0.0,"263,2"
Pelkosenniemi parish,2014,7,7,-1,2014-07-07,20.6,5.0,"296,9"
Pelkosenniemi parish,2014,7,8,-1,2014-07-08,22.4,0.0,"323,1"
Pelkosenniemi parish,2014,7,9,-1,2014-07-09,17.1,7.0,"307,9"
Pelkosenniemi parish,2014,7,10,-1,2014-07-10,15.4,0.0,"331,3"
Pelkosenniemi parish,2014,7,11,-1,2014-07-11,18.6,0.0,"304,1"
Pelkosenniemi parish,2014,7,12,-1,2014-07-12,19.6,1.0,"293,8"
Pelkosenniemi parish,2014,7,13,-1,2014-07-13,20.0,0.0,"233,2"
Pelkosenniemi parish,2014,7,14,-1,2014-07-14,22.3,0.0,"307,6"
Pelkosenniemi parish,2014,7,15,-1,2014-07-15,20.2,0.0,"186,7"
Pelkosenniemi parish,2014,7,16,-1,2014-07-16,14.9,7.0,"94,7"
Pelkosenniemi parish,2014,7,17,-1,2014-07-17,11.8,8.0,"124,3"
Pelkosenniemi parish,2014,7,18,-1,2014-07-18,15.4,5.0,"142,1"
Pelkosenniemi parish,2014,7,19,-1,2014-07-19,17.8,8.0,"241,3"
Pelkosenniemi parish,2014,7,20,-1,2014-07-20,20.8,7.0,"243,4"
Pelkosenniemi parish,2014,7,21,-1,2014-07-21,22.0,8.0,"279,2"
Pelkosenniemi parish,2014,7,22,-1,2014-07-22,21.9,7.0,"239,5"
Pelkosenniemi parish,2014,7,23,-1,2014-07-23,19.9,1.0,"279,2"
Pelkosenniemi parish,2014,7,24,-1,2014-07-24,21.2,0.0,"267,6"
Pelkosenniemi parish,2014,7,25,-1,2014-07-25,19.5,7.0,"286,5"
Pelkosenniemi parish,2014,7,26,-1,2014-07-26,18.4,0.0,"153,7"
Pelkosenniemi parish,2014,7,27,-1,2014-07-27,17.4,1.0,"246,4"
Pelkosenniemi parish,2014,7,28,-1,2014-07-28,16.7,7.0,154
Pelkosenniemi parish,2014,7,29,-1,2014-07-29,9.6,8.0,"60,8"
Pelkosenniemi parish,2014,7,30,-1,2014-07-30,9.9,8.0,"132,1"
Pelkosenniemi parish,2014,7,31,-1,2014-07-31,13.8,3.0,"73,4"
Pelkosenniemi parish,2014,8,1,-1,2014-08-01,16.6,8.0,"253,9"
Pelkosenniemi parish,2014,8,2,-1,2014-08-02,16.6,7.0,"250,1"
Pelkosenniemi parish,2014,8,3,-1,2014-08-03,18.1,0.0,245
Pelkosenniemi parish,2014,8,4,-1,2014-08-04,20.9,0.0,"227,4"
Pelkosenniemi parish,2014,8,5,-1,2014-08-05,22.8,0.0,"228,3"
Pelkosenniemi parish,2014,8,6,-1,2014-08-06,22.7,0.0,
Pelkosenniemi parish,2014,8,7,-1,2014-08-07,22.1,0.0,
Pelkosenniemi parish,2014,8,8,-1,2014-08-08,18.9,1.0,"134,6"
Pelkosenniemi parish,2014,8,9,-1,2014-08-09,12.5,7.0,"88,4"
Pelkosenniemi parish,2014,8,10,-1,2014-08-10,8.5,7.0,"42,7"
Pelkosenniemi parish,2014,8,11,-1,2014-08-11,10.9,8.0,"113,6"
Pelkosenniemi parish,2014,8,12,-1,2014-08-12,13.0,0.0,"42,6"
Pelkosenniemi parish,2014,8,13,-1,2014-08-13,13.5,7.0,"211,7"
Pelkosenniemi parish,2014,8,14,-1,2014-08-14,13.2,0.0,"182,7"
Pelkosenniemi parish,2014,8,15,-1,2014-08-15,11.3,3.0,"104,9"
Pelkosenniemi parish,2014,8,16,-1,2014-08-16,9.2,8.0,206
Pelkosenniemi parish,2014,8,17,-1,2014-08-17,7.3,5.0,"99,9"
Pelkosenniemi parish,2014,8,18,-1,2014-08-18,9.4,5.0,"147,3"
Pelkosenniemi parish,2014,8,19,-1,2014-08-19,10.7,7.0,"76,1"
Pelkosenniemi parish,2014,8,20,-1,2014-08-20,10.5,7.0,"71,3"
Pelkosenniemi parish,2014,8,21,-1,2014-08-21,7.9,8.0,"95,8"
Pelkosenniemi parish,2014,8,22,-1,2014-08-22,6.8,8.0,"61,4"
Pelkosenniemi parish,2014,8,23,-1,2014-08-23,7.6,8.0,"131,4"
Pelkosenniemi parish,2014,8,24,-1,2014-08-24,8.7,8.0,"57,3"
Pelkosenniemi parish,2014,8,25,-1,2014-08-25,10.3,7.0,"119,2"
Pelkosenniemi parish,2014,8,26,-1,2014-08-26,10.2,1.0,"78,1"
Pelkosenniemi parish,2014,8,27,-1,2014-08-27,9.8,8.0,"58,8"
Pelkosenniemi parish,2014,8,28,-1,2014-08-28,8.8,8.0,"57,2"
Pelkosenniemi parish,2014,8,29,-1,2014-08-29,5.8,7.0,71
Pelkosenniemi parish,2014,8,30,-1,2014-08-30,7.8,7.0,"148,6"
Pelkosenniemi parish,2014,8,31,-1,2014-08-31,10.2,8.0,"164,1"
Pelkosenniemi parish,2014,9,1,-1,2014-09-01,8.8,0.0,"162,1"
Pelkosenniemi parish,2014,9,2,-1,2014-09-02,10.2,0.0,"118,7"
Pelkosenniemi parish,2014,9,3,-1,2014-09-03,11.4,7.0,"117,2"
Pelkosenniemi parish,2014,9,4,-1,2014-09-04,11.6,7.0,"115,6"
Pelkosenniemi parish,2014,9,5,-1,2014-09-05,9.4,8.0,"120,6"
Pelkosenniemi parish,2014,9,6,-1,2014-09-06,9.4,7.0,"107,9"
Pelkosenniemi parish,2014,9,7,-1,2014-09-07,10.6,7.0,"105,6"
Pelkosenniemi parish,2014,9,8,-1,2014-09-08,9.7,7.0,"38,9"
Pelkosenniemi parish,2014,9,9,-1,2014-09-09,11.8,7.0,"111,3"
Pelkosenniemi parish,2014,9,10,-1,2014-09-10,11.6,8.0,"115,8"
Pelkosenniemi parish,2014,9,11,-1,2014-09-11,10.7,3.0,"75,7"
Pelkosenniemi parish,2014,9,12,-1,2014-09-12,9.3,7.0,"126,2"
Pelkosenniemi parish,2014,9,13,-1,2014-09-13,9.2,7.0,"138,2"
Pelkosenniemi parish,2014,9,14,-1,2014-09-14,7.6,1.0,"85,5"
Pelkosenniemi parish,2014,9,15,-1,2014-09-15,7.4,0.0,"123,9"
Pelkosenniemi parish,2014,9,16,-1,2014-09-16,9.5,3.0,132
Pelkosenniemi parish,2014,9,17,-1,2014-09-17,8.6,0.0,"81,6"
Pelkosenniemi parish,2014,9,18,-1,2014-09-18,6.2,0.0,"76,4"
Pelkosenniemi parish,2014,9,19,-1,2014-09-19,5.4,7.0,"26,3"
Pelkosenniemi parish,2014,9,20,-1,2014-09-20,7.3,8.0,"24,8"
Pelkosenniemi parish,2014,9,21,-1,2014-09-21,2.4,7.0,"28,6"
Pelkosenniemi parish,2014,9,22,-1,2014-09-22,-2.0,0.0,"104,2"
Pelkosenniemi parish,2014,9,23,-1,2014-09-23,-1.9,0.0,"67,2"
Pelkosenniemi parish,2014,9,24,5,2014-09-24,-1.6,7.0,"16,3"
Pelkosenniemi parish,2014,9,25,1,2014-09-25,-1.2,8.0,"32,2"
Pelkosenniemi parish,2014,9,26,-1,2014-09-26,1.7,7.0,"32,4"
Pelkosenniemi parish,2014,9,27,-1,2014-09-27,4.3,8.0,"55,5"
Pelkosenniemi parish,2014,9,28,-1,2014-09-28,4.3,7.0,"83,1"
Pelkosenniemi parish,2014,9,29,-1,2014-09-29,3.1,8.0,"70,3"
Pelkosenniemi parish,2014,9,30,-1,2014-09-30,1.8,8.0,"68,6"
Pelkosenniemi parish,2014,10,1,-1,2014-10-01,2.2,0.0,"78,8"
Pelkosenniemi parish,2014,10,2,-1,2014-10-02,3.9,8.0,"11,5"
Pelkosenniemi parish,2014,10,3,-1,2014-10-03,4.6,1.0,83
Pelkosenniemi parish,2014,10,4,-1,2014-10-04,3.7,9.0,"50,7"
Pelkosenniemi parish,2014,10,5,-1,2014-10-05,2.4,7.0,"24,4"
Pelkosenniemi parish,2014,10,6,-1,2014-10-06,1.9,8.0,"14,9"
Pelkosenniemi parish,2014,10,7,-1,2014-10-07,-0.4,8.0,"11,1"
Pelkosenniemi parish,2014,10,8,-1,2014-10-08,-0.4,8.0,"24,7"
Pelkosenniemi parish,2014,10,9,-1,2014-10-09,-1.9,7.0,"57,5"
Pelkosenniemi parish,2014,10,10,-1,2014-10-10,-3.3,0.0,"38,6"
Pelkosenniemi parish,2014,10,11,1,2014-10-11,-1.8,7.0,"13,5"
Pelkosenniemi parish,2014,10,12,1,2014-10-12,-2.1,8.0,"13,3"
Pelkosenniemi parish,2014,10,13,1,2014-10-13,-4.2,8.0,"22,3"
Pelkosenniemi parish,2014,10,14,1,2014-10-14,-3.8,1.0,"41,5"
Pelkosenniemi parish,2014,10,15,1,2014-10-15,-4.9,0.0,"50,9"
Pelkosenniemi parish,2014,10,16,1,2014-10-16,-6.1,5.0,"26,4"
Pelkosenniemi parish,2014,10,17,1,2014-10-17,-5.3,8.0,"30,3"
Pelkosenniemi parish,2014,10,18,1,2014-10-18,-3.2,7.0,"15,6"
Pelkosenniemi parish,2014,10,19,1,2014-10-19,-3.9,8.0,"10,4"
Pelkosenniemi parish,2014,10,20,1,2014-10-20,-4.4,8.0,"12,4"
Pelkosenniemi parish,2014,10,21,1,2014-10-21,-9.1,1.0,"48,3"
Pelkosenniemi parish,2014,10,22,1,2014-10-22,-10.1,0.0,"55,3"
Pelkosenniemi parish,2014,10,23,1,2014-10-23,-10.4,0.0,"41,8"
Pelkosenniemi parish,2014,10,24,1,2014-10-24,-6.4,8.0,"9,7"
Pelkosenniemi parish,2014,10,25,7,2014-10-25,-2.2,8.0,"5,6"
Pelkosenniemi parish,2014,10,26,1,2014-10-26,2.0,7.0,"4,8"
Pelkosenniemi parish,2014,10,27,-1,2014-10-27,3.5,8.0,"12,4"
Pelkosenniemi parish,2014,10,28,-1,2014-10-28,0.5,0.0,"13,6"
Pelkosenniemi parish,2014,10,29,-1,2014-10-29,1.6,8.0,"12,2"
Pelkosenniemi parish,2014,10,30,-1,2014-10-30,-2.1,0.0,"8,2"
Pelkosenniemi parish,2014,10,31,0,2014-10-31,-5.8,1.0,"15,8"
Pelkosenniemi parish,2014,11,1,0,2014-11-01,-6.1,0.0,"34,2"
Pelkosenniemi parish,2014,11,2,2,2014-11-02,-4.5,7.0,"7,2"
Pelkosenniemi parish,2014,11,3,2,2014-11-03,1.6,8.0,"2,8"
Pelkosenniemi parish,2014,11,4,0,2014-11-04,-4.0,8.0,"8,8"
Pelkosenniemi parish,2014,11,5,-1,2014-11-05,-10.0,7.0,"20,9"
Pelkosenniemi parish,2014,11,6,-1,2014-11-06,-8.3,0.0,"21,5"
Pelkosenniemi parish,2014,11,7,-1,2014-11-07,-10.1,1.0,"16,4"
Pelkosenniemi parish,2014,11,8,-1,2014-11-08,-8.2,5.0,"4,9"
Pelkosenniemi parish,2014,11,9,1,2014-11-09,-4.5,8.0,"2,9"
Pelkosenniemi parish,2014,11,10,-1,2014-11-10,1.4,7.0,"0,6"
Pelkosenniemi parish,2014,11,11,-1,2014-11-11,-0.3,8.0,"1,6"
Pelkosenniemi parish,2014,11,12,2,2014-11-12,-7.0,8.0,"8,5"
Pelkosenniemi parish,2014,11,13,2,2014-11-13,-8.4,0.0,"14,9"
Pelkosenniemi parish,2014,11,14,2,2014-11-14,-10.3,5.0,"2,6"
Pelkosenniemi parish,2014,11,15,2,2014-11-15,-11.8,7.0,"5,3"
Pelkosenniemi parish,2014,11,16,6,2014-11-16,-5.5,8.0,"3,4"
Pelkosenniemi parish,2014,11,17,6,2014-11-17,-3.4,8.0,"1,3"
Pelkosenniemi parish,2014,11,18,6,2014-11-18,-3.4,8.0,"1,5"
Pelkosenniemi parish,2014,11,19,6,2014-11-19,-2.5,8.0,3
Pelkosenniemi parish,2014,11,20,6,2014-11-20,-4.6,7.0,"1,3"
Pelkosenniemi parish,2014,11,21,6,2014-11-21,-5.1,8.0,"1,3"
